2-Theta,Intensity
10.0,62.43
10.05,62.71
10.1,61.93
10.15,51.73
10.2,58.24
10.25,62.35
10.3,55.63
10.35,64.25
10.4,61.9
10.45,56.12
10.5,46.32
10.55,48.41
10.6,55.09
10.65,51.1
10.7,49.52
10.75,54.22
10.8,62.15
10.85,59.72
10.9,55.23
10.95,53.75
11.0,64.18
11.05,58.05
11.1,50.79
11.15,50.53
11.2,56.28
11.25,56.37
11.3,48.15
11.35,61.55
11.4,53.95
11.45,59.35
11.5,62.91
11.55,56.07
11.6,58.59
11.65,53.59
11.7,57.06
11.75,58.09
11.8,46.91
11.85,53.15
11.9,59.82
11.95,55.21
12.0,64.49
12.05,53.92
12.1,53.16
12.15,49.3
12.2,61.53
12.25,56.32
12.3,62.53
12.35,58.2
12.4,56.69
12.45,56.86
12.5,47.53
12.55,47.58
12.6,44.01
12.65,52.21
12.7,42.98
12.75,48.57
12.8,45.85
12.85,45.21
12.9,50.43
12.95,50.55
13.0,41.57
13.05,44.96
13.1,49.74
13.15,50.39
13.2,35.73
13.25,47.69
13.3,48.04
13.35,49.97
13.4,51.17
13.45,49.18
13.5,40.98
13.55,54.29
13.6,52.5
13.65,51.54
13.7,52.17
13.75,47.0
13.8,49.51
13.85,48.07
13.9,51.55
13.95,56.39
14.0,51.15
14.05,52.87
14.1,37.76
14.15,45.67
14.2,41.64
14.25,33.31
14.3,34.96
14.35,30.02
14.4,44.49
14.45,35.13
14.5,47.76
14.55,35.67
14.6,41.84
14.65,47.06
14.7,53.22
14.75,44.24
14.8,41.91
14.85,41.08
14.9,46.46
14.95,38.72
15.0,42.8
15.05,38.71
15.1,47.98
15.15,43.97
15.2,50.41
15.25,48.85
15.3,48.36
15.35,37.17
15.4,49.54
15.45,44.26
15.5,41.5
15.55,32.97
15.6,40.26
15.65,27.66
15.7,40.51
15.75,45.4
15.8,34.83
15.85,34.42
15.9,48.48
15.95,49.3
16.0,52.96
16.05,50.25
16.1,48.55
16.15,38.11
16.2,41.25
16.25,48.25
16.3,33.68
16.35,39.74
16.4,45.47
16.45,39.48
16.5,32.05
16.55,43.37
16.6,39.79
16.65,37.91
16.7,39.71
16.75,37.17
16.8,47.51
16.85,41.16
16.9,43.14
16.95,54.2
17.0,51.71
17.05,41.49
17.1,44.4
17.15,48.33
17.2,43.83
17.25,52.84
17.3,47.67
17.35,42.46
17.4,40.87
17.45,44.35
17.5,48.06
17.55,47.79
17.6,50.85
17.65,43.88
17.7,42.43
17.75,45.83
17.8,40.93
17.85,50.51
17.9,43.84
17.95,49.71
18.0,51.88
18.05,47.04
18.1,59.82
18.15,55.27
18.2,62.86
18.25,56.83
18.3,58.31
18.35,46.46
18.4,47.1
18.45,61.2
18.5,54.67
18.55,57.8
18.6,54.96
18.65,65.65
18.7,63.61
18.75,63.43
18.8,54.28
18.85,57.66
18.9,60.99
18.95,59.94
19.0,52.66
19.05,50.93
19.1,49.15
19.15,47.44
19.2,39.52
19.25,48.38
19.3,55.46
19.35,53.74
19.4,47.99
19.45,50.16
19.5,43.38
19.55,49.85
19.6,46.98
19.65,55.8
19.7,46.76
19.75,44.62
19.8,40.0
19.85,48.79
19.9,37.8
19.95,40.01
20.0,40.93
20.05,49.92
20.1,49.62
20.15,48.02
20.2,47.93
20.25,45.31
20.3,37.08
20.35,48.21
20.4,44.62
20.45,43.38
20.5,45.78
20.55,41.26
20.6,42.63
20.65,37.85
20.7,38.48
20.75,47.68
20.8,50.54
20.85,47.85
20.9,41.62
20.95,48.11
21.0,33.8
21.05,38.4
21.1,36.67
21.15,32.05
21.2,45.55
21.25,42.43
21.3,44.62
21.35,37.16
21.4,45.56
21.45,42.03
21.5,46.6
21.55,41.98
21.6,37.33
21.65,47.96
21.7,35.88
21.75,39.49
21.8,31.46
21.85,39.5
21.9,30.44
21.95,31.16
22.0,30.87
22.05,30.66
22.1,27.12
22.15,24.29
22.2,28.66
22.25,28.25
22.3,32.24
22.35,27.35
22.4,29.53
22.45,29.2
22.5,36.48
22.55,34.17
22.6,39.17
22.65,42.77
22.7,39.08
22.75,30.91
22.8,41.31
22.85,31.98
22.9,40.16
22.95,35.46
23.0,27.48
23.05,38.82
23.1,32.99
23.15,34.92
23.2,40.21
23.25,40.81
23.3,31.17
23.35,37.81
23.4,28.99
23.45,25.98
23.5,36.51
23.55,33.65
23.6,27.02
23.65,32.61
23.7,38.33
23.75,35.52
23.8,25.09
23.85,30.06
23.9,33.0
23.95,36.2
24.0,27.54
24.05,31.39
24.1,35.56
24.15,36.28
24.2,28.07
24.25,41.39
24.3,39.11
24.35,41.86
24.4,46.31
24.45,34.15
24.5,42.83
24.55,37.11
24.6,42.84
24.65,45.47
24.7,45.03
24.75,38.21
24.8,43.05
24.85,41.11
24.9,46.47
24.95,36.27
25.0,36.49
25.05,35.75
25.1,38.01
25.15,43.72
25.2,34.27
25.25,36.41
25.3,30.96
25.35,31.06
25.4,31.28
25.45,29.0
25.5,33.58
25.55,36.13
25.6,32.91
25.65,27.34
25.7,27.21
25.75,26.05
25.8,29.27
25.85,29.7
25.9,25.89
25.95,37.06
26.0,25.46
26.05,27.46
26.1,34.87
26.15,31.26
26.2,30.21
26.25,36.4
26.3,28.73
26.35,35.01
26.4,38.82
26.45,32.78
26.5,24.5
26.55,29.69
26.6,25.01
26.65,37.49
26.7,26.31
26.75,41.41
26.8,38.59
26.85,39.04
26.9,32.03
26.95,26.51
27.0,30.72
27.05,26.48
27.1,31.12
27.15,23.04
27.2,23.96
27.25,29.51
27.3,30.17
27.35,32.19
27.4,30.63
27.45,29.48
27.5,27.87
27.55,25.56
27.6,19.15
