position,amplitude
0.0,0.9636
0.001,0.82263
0.002,0.58331
0.003,0.29954
0.004,-0.03554
0.005,-0.36412
0.006,-0.65209
0.007,-0.85089
0.008,-0.98487
0.009,-0.99174
0.01,-0.89358
0.011,-0.70316
0.012,-0.4179
0.013,-0.11465
0.014,0.22631
0.015,0.51981
0.016,0.78731
0.017,0.9359
0.018,0.9974
0.019,0.94397
0.02,0.80028
0.021,0.54933
0.022,0.25687
0.023,-0.09023
0.024,-0.40099
0.025,-0.66963
0.026,-0.88231
0.027,-0.98701
0.028,-0.98496
0.029,-0.88309
0.03,-0.66268
0.031,-0.39446
0.032,-0.06393
0.033,0.25966
0.034,0.56307
0.035,0.79927
0.036,0.95039
0.037,0.99758
0.038,0.9437
0.039,0.77194
0.04,0.51881
0.041,0.2121
0.042,-0.12896
0.043,-0.44043
0.044,-0.71753
0.045,-0.8948
0.046,-1.00097
0.047,-0.9761
0.048,-0.84472
0.049,-0.63029
0.05,-0.34046
0.051,-0.01712
0.052,0.30365
0.053,0.59265
0.054,0.82832
0.055,0.96784
0.056,1.00363
0.057,0.92175
0.058,0.74745
0.059,0.47225
0.06,0.15481
0.061,-0.16855
0.062,-0.48084
0.063,-0.74014
0.064,-0.91527
0.065,-1.00266
0.066,-0.96127
0.067,-0.835
0.068,-0.59246
0.069,-0.301
0.07,0.03076
0.071,0.34388
0.072,0.64508
0.073,0.84866
0.074,0.97705
0.075,1.00282
0.076,0.89907
0.077,0.70653
0.078,0.44175
0.079,0.11283
0.08,-0.21903
0.081,-0.5237
0.082,-0.77488
0.083,-0.93777
0.084,-1.00922
0.085,-0.94844
0.086,-0.79929
0.087,-0.56376
0.088,-0.25595
0.089,0.07221
0.09,0.3973
0.091,0.66419
0.092,0.87265
0.093,0.98935
0.094,0.98913
0.095,0.87832
0.096,0.67134
0.097,0.39956
0.098,0.0756
0.099,-0.26286
0.1,-0.54624
0.101,-0.80607
0.102,-0.94266
0.103,-0.99879
0.104,-0.94036
0.105,-0.77215
0.106,-0.53103
0.107,-0.22798
0.108,0.10761
0.109,0.43783
0.11,0.69537
0.111,0.89181
0.112,0.98815
0.113,0.97759
0.114,0.85889
0.115,0.64426
0.116,0.35558
0.117,0.03991
0.118,-0.28795
